Epochs,Learning Rate,Discount Factor,Epsilon,Average Win Rate
10,0.0001,0.95,1,-0.3
100,0.0001,0.95,1,-0.3
1000,0.0001,0.95,1,-0.25
10000,0.0001,0.95,1,-0.24
100000,0.0001,0.95,1,-0.14
1000000,0.0001,0.95,1,-0.22
100000,0.1,0.95,1,-0.17
100000,0.010000000000000002,0.95,1,-0.19
100000,0.0010000000000000002,0.95,1,-0.25
100000,0.00010000000000000003,0.95,1,-0.22
100000,1.0000000000000004e-05,0.95,1,-0.22
100000,1.0000000000000004e-06,0.95,1,-0.23
100000,1.0000000000000005e-07,0.95,1,-0.17
100000,1.0000000000000005e-08,0.95,1,-0.17
100000,0.0001,1,1,-0.21
100000,0.0001,0.95,1,-0.17
100000,0.0001,0.8999999999999999,1,-0.18
100000,0.0001,0.8499999999999999,1,-0.17
100000,0.0001,0.7999999999999998,1,-0.19
100000,0.0001,0.7499999999999998,1,-0.21
100000,0.0001,0.6999999999999997,1,-0.18
100000,0.0001,0.6499999999999997,1,-0.23
100000,0.0001,0.5999999999999996,1,-0.17
100000,0.0001,0.5499999999999996,1,-0.19
100000,0.0001,0.4999999999999996,1,-0.19
100000,0.0001,0.4499999999999996,1,-0.21
100000,0.0001,0.39999999999999963,1,-0.23
100000,0.0001,0.34999999999999964,1,-0.15
100000,0.0001,0.95,1,-0.21
100000,0.0001,0.95,0.95,-0.2
100000,0.0001,0.95,0.8999999999999999,-0.23
100000,0.0001,0.95,0.8499999999999999,-0.18
100000,0.0001,0.95,0.7999999999999998,-0.23
100000,0.0001,0.95,0.7499999999999998,-0.22
100000,0.0001,0.95,0.6999999999999997,-0.28
100000,0.0001,0.95,0.6499999999999997,-0.23
100000,0.0001,0.95,0.5999999999999996,-0.11
100000,0.0001,0.95,0.5499999999999996,-0.2
Epochs,Learning Rate,Discount Factor,Epsilon,Average Win Rate
10,0.0001,0.95,1,-0.14
100,0.0001,0.95,1,-0.21
1000,0.0001,0.95,1,-0.18
10000,0.0001,0.95,1,-0.26
100000,0.0001,0.95,1,-0.19
1000000,0.0001,0.95,1,-0.17
100000,0.1,0.95,1,-0.21
100000,0.010000000000000002,0.95,1,-0.24
100000,0.0010000000000000002,0.95,1,-0.17
100000,0.00010000000000000003,0.95,1,-0.21
100000,1.0000000000000004e-05,0.95,1,-0.21
100000,1.0000000000000004e-06,0.95,1,-0.19
100000,1.0000000000000005e-07,0.95,1,-0.17
100000,1.0000000000000005e-08,0.95,1,-0.17
100000,0.0001,1,1,-0.18
100000,0.0001,0.95,1,-0.19
100000,0.0001,0.8999999999999999,1,-0.25
100000,0.0001,0.8499999999999999,1,-0.18
100000,0.0001,0.7999999999999998,1,-0.22
100000,0.0001,0.7499999999999998,1,-0.1
100000,0.0001,0.6999999999999997,1,-0.21
100000,0.0001,0.6499999999999997,1,-0.18
100000,0.0001,0.5999999999999996,1,-0.23
100000,0.0001,0.5499999999999996,1,-0.18
100000,0.0001,0.4999999999999996,1,-0.2
100000,0.0001,0.4499999999999996,1,-0.19
100000,0.0001,0.39999999999999963,1,-0.21
100000,0.0001,0.34999999999999964,1,-0.22
100000,0.0001,0.95,1,-0.19
100000,0.0001,0.95,0.95,-0.23
100000,0.0001,0.95,0.8999999999999999,-0.21
100000,0.0001,0.95,0.8499999999999999,-0.17
100000,0.0001,0.95,0.7999999999999998,-0.17
100000,0.0001,0.95,0.7499999999999998,-0.18
100000,0.0001,0.95,0.6999999999999997,-0.14
100000,0.0001,0.95,0.6499999999999997,-0.21
100000,0.0001,0.95,0.5999999999999996,-0.19
100000,0.0001,0.95,0.5499999999999996,-0.27
Epochs,Learning Rate,Discount Factor,Epsilon,Average Win Rate
10,0.0001,0.95,1,-0.26
100,0.0001,0.95,1,-0.19
1000,0.0001,0.95,1,-0.21
10000,0.0001,0.95,1,-0.16
100000,0.0001,0.95,1,-0.1
1000000,0.0001,0.95,1,-0.18
100000,0.1,0.95,1,-0.15
100000,0.010000000000000002,0.95,1,-0.18
100000,0.0010000000000000002,0.95,1,-0.2
100000,0.00010000000000000003,0.95,1,-0.23
100000,1.0000000000000004e-05,0.95,1,-0.2
100000,1.0000000000000004e-06,0.95,1,-0.18
100000,1.0000000000000005e-07,0.95,1,-0.24
100000,1.0000000000000005e-08,0.95,1,-0.25
100000,0.0001,1,1,-0.21
100000,0.0001,0.95,1,-0.19
100000,0.0001,0.8999999999999999,1,-0.17
100000,0.0001,0.8499999999999999,1,-0.2
100000,0.0001,0.7999999999999998,1,-0.16
100000,0.0001,0.7499999999999998,1,-0.22
100000,0.0001,0.6999999999999997,1,-0.17
100000,0.0001,0.6499999999999997,1,-0.18
100000,0.0001,0.5999999999999996,1,-0.23
100000,0.0001,0.5499999999999996,1,-0.19
100000,0.0001,0.4999999999999996,1,-0.22
100000,0.0001,0.4499999999999996,1,-0.18
100000,0.0001,0.39999999999999963,1,-0.2
100000,0.0001,0.34999999999999964,1,-0.2
100000,0.0001,0.95,1,-0.21
100000,0.0001,0.95,0.95,-0.17
100000,0.0001,0.95,0.8999999999999999,-0.14
100000,0.0001,0.95,0.8499999999999999,-0.27
100000,0.0001,0.95,0.7999999999999998,-0.19
100000,0.0001,0.95,0.7499999999999998,-0.14
100000,0.0001,0.95,0.6999999999999997,-0.2
100000,0.0001,0.95,0.6499999999999997,-0.24
100000,0.0001,0.95,0.5999999999999996,-0.23
100000,0.0001,0.95,0.5499999999999996,-0.19
